"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"373",323.13,-122.08891665,47.66957993,373,3528,404,404
"374",323.15,-121.97538244,47.66091653,374,2901,256,256
"375",323.16,-122.07317684,47.63887901,375,2523,191,212
"376",323.17,-122.04798509,47.62761761,376,3058,278,292
"377",323.18,-122.03207977,47.63507405,377,2983,184,270
"378",323.19,-122.14765711,47.75956101,378,2621,341,290
"379",323.2,-122.12433232,47.75500111,379,2052,214,192
"380",323.21,-122.12632586,47.7179219,380,2555,250,216
"381",323.22,-122.09784492,47.72600445,381,1839,191,183
"382",323.23,-122.11176681,47.69860149,382,2659,249,138
"383",323.24,-122.11998395,47.68552637,383,2950,311,265
"384",323.25,-122.10495626,47.6864822,384,3234,313,340
"385",323.26,-122.07135518,47.71729192,385,1962,192,256
"386",323.27,-122.04028982,47.71011401,386,1622,314,185
"387",323.28,-122.04613148,47.66416528,387,1866,167,242
"388",323.29,-122.02971359,47.6836617,388,4051,321,388
"389",324.01,-121.94554629,47.7461741,389,2769,309,316
"390",324.02,-121.95152232,47.70396559,390,3246,340,335
"391",325,-121.8272061,47.70344069,391,2855,233,269
"392",326.01,-121.86004316,47.58813082,392,1634,264,120
"393",326.02,-121.87788609,47.53477244,393,5639,357,488
"395",327.03,-121.81867202,47.5167154,395,1022,123,89
"396",327.04,-121.77024302,47.4921858,396,3031,368,550
"398",401,-122.21526567,48.0059389,1102,1969,173,199
"399",402,-122.18785563,48.00282496,2102,2487,472,329
"400",403,-122.20003862,47.99413429,3101,1289,164,127
"401",404,-122.21452818,47.98617421,414,1765,231,133
"402",405,-122.18211716,47.98537746,514,1072,129,100
"403",407,-122.19763654,47.97436939,613,1532,221,186
"404",408,-122.22479121,47.97706486,713,1314,190,168
"405",409,-122.23702249,47.96183637,813,1368,161,155
"406",410,-122.21352612,47.96018464,913,2609,303,237
"407",411,-122.21950187,47.94463133,1013,2266,283,225
"408",412.01,-122.23562227,47.94477054,1113,1590,218,193
"409",412.02,-122.22209914,47.9288001,1213,3069,336,376
"410",413.01,-122.30132901,47.93820558,1313,2485,249,139
"411",413.03,-122.24654842,47.94082309,1413,2285,265,311
"412",413.04,-122.27104342,47.93982206,1513,1543,279,107
"413",414,-122.20388064,47.94172692,1613,2714,272,365
"414",415,-122.18686975,47.9423644,1713,714,83,82
"415",416.01,-122.19330198,47.91621039,1812,2864,298,227
"416",416.05,-122.19581168,47.90011428,1912,3088,296,378
