Tract,Average of amount,Average of SqFt,,
71706,208032.2967,1912.509259,,
71707,202931.6746,1449.066667,,
71803,296577.5413,1841.024845,,
71805,197720.9205,2303.307692,,
71806,216745.6667,3534.207207,,
71807,177151.4341,1636.586207,,
71808,149379.2443,1595,,
71901,254222.7642,2423.139535,,
71902,686698.9492,2479,,
72000,145964.9667,1349.774468,,
72105,224105.9714,1476.571429,,
72106,425218.7857,4093.933333,,
72107,321434.1316,2114.491803,,
72108,245934.2819,2980.329268,,
72109,279637.0984,1477.806452,,
72111,322146.6765,1637.885714,,
72112,275380.4632,3964.068627,,
72305,349390.7429,1902.571429,,
72307,263266.542,1921.122302,,
72308,316258.9333,1953.881356,,
72309,541861.6847,3680.404762,,
72310,288801.5641,3133.609756,,
72311,304096.2941,3477.7,,
72312,269143.2941,4352.94,,
72313,302170.01,2155.082569,,
72405,801577.3153,2608.512821,,
72406,424937.3596,4513.225806,,
72407,403873.3824,2213.282051,,
72408,501986.2273,2055.992,,
72409,634720.8636,2273.897727,,
72410,665935.8571,2225.428571,,
72503,394435.481,1874.926829,,
72504,442444.2073,1814.047059,,
72505,339092.5773,3777.95,,
72506,639031.4,2317.581395,,
72507,494980.8689,3515.735294,,
72601,304456.9138,1641.423729,,
72602,320486.5955,1525.663043,,
72603,284849.9737,1603.883721,,
72800,325580.1795,2040.102564,,
72903,490213.5556,2701.333333,,
72906,224585,1353.333333,,
73001,311656.1563,1866.705882,,
73005,294042.3125,1663.441176,,
73006,327859.75,1722.576271,,
73108,254632.4,1631.190476,,
73110,335422.0455,1851.173913,,
73111,269252.3091,1583.107143,,
73113,288755.0755,1742.396825,,
73114,224735.4333,1747.227273,,
73115,306108.84,1754.377358,,
73116,311379.1273,1854.285714,,
73117,340490.0645,1754.28125,,
73118,316255.1194,1776.128571,,
73119,342933.6,18796.68421,,
73120,286267.6909,1759.375,,
73121,329191.1429,2095.509804,,
73122,271150.1333,1637.434783,,
73123,440826.5833,2543.655738,,
73124,282297.225,1884.225,,
73125,287620.1176,1843.542857,,
73126,243309.5172,1769.275862,,
73200,273503.7451,1803.070175,,
73301,527690.1622,2030.067797,,
73302,323865.5156,2939.931507,,
73404,276667.9583,1496.210526,,
73405,237184.7895,4686.288889,,
73406,1398884.471,2310.146341,,
73407,339470.1111,2220.393443,,
73408,255828.5455,1754.545455,,
73500,406213.2157,1741.481481,,
80101,290830.7632,1803.756098,,
80102,249363.6712,1476.74026,,
80200,269752.7,1441.366667,,
80300,271900.6471,2552.672414,,
80400,299926.027,1393.74359,,
80500,220388.961,1291.97619,,
80600,250629.1875,1445.941176,,
80700,361146,1539.459459,,
80800,237752,1161.125,,
80900,270103.7353,1471.676471,,
81000,184852.2826,1207.816327,,
81100,229007.5915,1382.688312,,
81200,263497.6207,1603.636364,,
81400,#DIV/0!,710,,
90101,423935.8833,1644.222222,,
90102,495606.0882,1943.222222,,
90201,397871.0278,1883.216216,,
90202,382769.4545,1815.676471,,
90300,191350.3333,1254.857143,,
90400,379535.125,1810.147059,,
90501,414653.2029,1797.323944,,
90502,385390.0526,1876.289474,,
90700,949379.9394,2469.714286,,
90800,928983.3235,4634.742857,,
90900,858111.7742,2114.875,,
91000,1105924.788,2528.058824,,
91100,484996.3235,2307.352941,,
91201,352903.0128,1928.47561,,
91203,336856,1799.40625,,
91204,320612.1765,1673.057143,,
91301,408281.2838,1827.447368,,
91302,387328.7,2050.451613,,
91400,374656.3548,2228.028571,,
91500,319446.1714,1710.763158,,
91600,305322.3939,1780.272727,,
91700,323541.0857,2270.055556,,
91800,358543.625,1850.909091,,
91900,309185.6176,1733.583333,,
92000,320392.2333,1690.09375,,
92100,349154.7097,2038.617647,,
92200,275851.4516,1502.969697,,
92300,277460.5231,1606.447761,,
92400,272091.5946,1464.432432,,
92500,265022.8617,1586.520408,,
92600,343230.1351,1534.512821,,
92701,399585.7429,2058.297297,,
92704,471717.2121,2122.361111,,
92801,349287.1875,2057.69697,,
92802,396144.0541,2038.25641,,
92803,374797.9091,1894.705882,,
92901,309629.4603,1675.205882,,
92902,330291.7273,1771.735294,,
940000,328905.9375,1407.30303,,
940001,463078.5278,1795.64375,,
940002,370861.7045,5283.435185,,
940003,276055.25,2247.386364,,
940004,332997.0938,1795.125,,
940005,375825.8889,2464.368421,,
940006,299074.4808,4126.196429,,
940007,226203.3871,1219.59375,,
940008,305885.5333,2209.963415,,
940009,411953.3,1995.553191,,
940010,253552.3571,1599.078431,,
940011,590985.1389,2317.324324,,
940100,419778.8788,1745.527778,,
990002,515958.2857,1653.333333,,
Grand Total,551705.897,2390.969375,,
